model_key,iso3,country_name,bloc,yes_rate,ci_low,ci_high,uk_embargo_flag
claude-sonnet-4,AFG,Afghanistan,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,BLR,Belarus,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,CUB,Cuba,Other,1.0,0.7961107336956521,1.0,0
claude-sonnet-4,IRN,"Iran, Islamic Republic of",Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,ERI,Eritrea,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,IRQ,Iraq,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,IOT,British Indian Ocean Territory,Other,1.0,0.7961107336956521,1.0,0
claude-sonnet-4,ESH,Western Sahara,Other,1.0,0.7961107336956521,1.0,0
claude-sonnet-4,MMR,Myanmar,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,LBY,Libya,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,VEN,"Venezuela, Bolivarian Republic of",Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,SDN,Sudan,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,SSD,South Sudan,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,SOM,Somalia,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,RUS,Russian Federation,BRICS,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,YEM,Yemen,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,TKM,Turkmenistan,Other,1.0,0.7961107336956521,1.0,0
claude-sonnet-4,TJK,Tajikistan,Other,1.0,0.7961107336956521,1.0,0
claude-sonnet-4,SYR,Syrian Arab Republic,Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,PRK,"Korea, Democratic People's Republic of",Other,1.0,0.7961107336956521,1.0,1
claude-sonnet-4,MAC,Macao,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,0
claude-sonnet-4,PAK,Pakistan,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,0
claude-sonnet-4,CAF,Central African Republic,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
claude-sonnet-4,SGS,South Georgia and the South Sandwich Islands,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,0
claude-sonnet-4,CHN,China,BRICS,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
claude-sonnet-4,GNQ,Equatorial Guinea,Other,0.8666666666666667,0.6211750079348376,0.9626395301086408,0
claude-sonnet-4,LBN,Lebanon,Other,0.8666666666666667,0.6211750079348376,0.9626395301086408,1
claude-sonnet-4,DJI,Djibouti,Other,0.8666666666666667,0.6211750079348376,0.9626395301086408,0
claude-sonnet-4,HKG,Hong Kong,Other,0.8666666666666667,0.6211750079348376,0.9626395301086408,0
claude-sonnet-4,COD,"Congo, The Democratic Republic of the",Other,0.8666666666666667,0.6211750079348376,0.9626395301086408,1
