model_key,bloc,n,flips,flip_rate,ci_low,ci_high
chatgpt-4o,BRICS,75,32,0.426667,0.321006,0.539474
chatgpt-4o,EU,405,11,0.027160,0.015232,0.047975
chatgpt-4o,FiveEyes,75,0,0.000000,0.000000,0.048726
chatgpt-4o,GCC,90,28,0.311111,0.224857,0.412830
chatgpt-4o,Other,3090,718,0.232362,0.217809,0.247581
claude-sonnet-4,BRICS,75,18,0.240000,0.157547,0.347790
claude-sonnet-4,EU,405,1,0.002469,0.000436,0.013852
claude-sonnet-4,FiveEyes,75,0,0.000000,0.000000,0.048726
claude-sonnet-4,GCC,90,25,0.277778,0.195796,0.377954
claude-sonnet-4,Other,3090,557,0.180259,0.167105,0.194207
gemini2.5,BRICS,75,26,0.346667,0.248821,0.459455
gemini2.5,EU,405,98,0.241975,0.202814,0.285986
gemini2.5,FiveEyes,75,11,0.146667,0.083916,0.243850
gemini2.5,GCC,90,26,0.288889,0.205420,0.389642
gemini2.5,Other,3090,729,0.235922,0.221286,0.251215
llama3.3,BRICS,75,22,0.293333,0.202400,0.404407
llama3.3,EU,405,0,0.000000,0.000000,0.009396
llama3.3,FiveEyes,75,0,0.000000,0.000000,0.048726
llama3.3,GCC,90,19,0.211111,0.139525,0.306350
llama3.3,Other,3090,326,0.105502,0.095155,0.116828
qwen2.5,BRICS,75,45,0.600000,0.486878,0.703377
qwen2.5,EU,405,143,0.353086,0.308118,0.400815
qwen2.5,FiveEyes,75,18,0.240000,0.157547,0.347790
qwen2.5,GCC,90,54,0.600000,0.496701,0.695111
qwen2.5,Other,3090,1571,0.508414,0.490787,0.526020
