model_key,iso3,country_name,bloc,region,a,b1p0,b0p1,d,n_total,n_discordant,p,effect_delta,effect_rate,rank_in_model,p_adj
chatgpt-4o,TCA,Turks and Caicos Islands,Other,Other,3.0,3.0,0.0,9.0,15.0,3.0,0.25,-3.0,-0.2,1,0.001004016064257028
chatgpt-4o,AZE,Azerbaijan,Other,Other,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,2,0.0030120481927710845
chatgpt-4o,BDI,Burundi,Other,Other,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,3,0.004518072289156626
chatgpt-4o,BGD,Bangladesh,Other,Other,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,4,0.006024096385542169
chatgpt-4o,BHR,Bahrain,GCC,Asia,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,5,0.007530120481927711
chatgpt-4o,BOL,"Bolivia, Plurinational State of",Other,South America,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,6,0.009036144578313253
chatgpt-4o,CMR,Cameroon,Other,Other,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,7,0.010542168674698794
chatgpt-4o,CYM,Cayman Islands,Other,Other,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,8,0.012048192771084338
chatgpt-4o,DZA,Algeria,Other,Africa,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,9,0.01355421686746988
chatgpt-4o,GIN,Guinea,Other,Other,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,10,0.015060240963855422
chatgpt-4o,GNQ,Equatorial Guinea,Other,Other,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,11,0.016566265060240965
chatgpt-4o,IDN,Indonesia,Other,Asia,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,12,0.018072289156626505
chatgpt-4o,KAZ,Kazakhstan,Other,Other,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,13,0.01957831325301205
chatgpt-4o,KWT,Kuwait,GCC,Asia,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,14,0.02108433734939759
chatgpt-4o,LBR,Liberia,Other,Other,2.0,4.0,1.0,8.0,15.0,5.0,0.375,-3.0,-0.2,15,0.022590361445783132
