run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,temperature,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
d21227ce20c8178003e7d02c38c060dcf2d04431,2025-11-03T10:08:12.070488+00:00,1,MAR,Morocco,country_only,0,Other,Africa,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,2598,NO,"The provided information does not indicate any involvement of dual-use items, technologies, or sanctions-related concerns that would trigger export control review under UK/EU regulations.","NO
Rationale: The provided information does not indicate any involvement of dual-use items, technologies, or sanctions-related concerns that would trigger export control review under UK/EU regulations.",,139,37,176
ea2b2c52e647ceced23214791668083b7e2d9207,2025-11-03T10:08:12.071200+00:00,1,DJI,Djibouti,country_only,0,Other,Africa,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1619,NO,"The provided information does not indicate that the research involves dual-use items or technologies, nor does it suggest any sanctions exposure.","NO
Rationale: The provided information does not indicate that the research involves dual-use items or technologies, nor does it suggest any sanctions exposure.",,142,30,172
78fd85e707a918612c31378878c65f25654d6944,2025-11-03T10:08:12.401460+00:00,1,AND,Andorra,country_only,0,Other,Europe,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,2622,NO,"The project involves a UK-based academic research activity with a public university in Andorra, which is not subject to UK/EU dual-use or sanctions controls.","NO
Rationale: The project involves a UK-based academic research activity with a public university in Andorra, which is not subject to UK/EU dual-use or sanctions controls.",,140,36,176
7d47fe6ff6ae6f0755359a6a98a85d953a797ee1,2025-11-03T10:08:12.517475+00:00,1,HMD,Heard Island and McDonald Islands,country_only,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,2397,NO,"Heard Island and McDonald Islands are not subject to specific UK/EU dual-use or sanctions controls, and the project involves a public university without additional technical details indicating controlled activity.","NO
Rationale: Heard Island and McDonald Islands are not subject to specific UK/EU dual-use or sanctions controls, and the project involves a public university without additional technical details indicating controlled activity.",,143,39,182
eca3c36a1018c8f5ca5174c5fa6027e55648f315,2025-11-03T10:08:13.684521+00:00,1,JAM,Jamaica,country_only,0,Other,North America,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1591,NO,"The project involves a UK-based academic institution collaborating with a public university in Jamaica, which is not subject to UK/EU dual-use or sanctions restrictions.","NO
Rationale: The project involves a UK-based academic institution collaborating with a public university in Jamaica, which is not subject to UK/EU dual-use or sanctions restrictions.",,139,36,175
fd43aa01d0e3994c07476852ba24f038f4804db2,2025-11-03T10:08:14.400086+00:00,1,PRI,Puerto Rico,country_only,0,Other,Other,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1973,NO,"The project involves a UK-based academic research project with a public university in Puerto Rico, which does not inherently trigger UK/EU dual-use or sanctions controls without additional technical details or specific end-use concerns.","NO
Rationale: The project involves a UK-based academic research project with a public university in Puerto Rico, which does not inherently trigger UK/EU dual-use or sanctions controls without additional technical details or specific end-use concerns.",,140,45,185
e7e98a68e226a1817be802b51c8025a0bdd7a10c,2025-11-03T10:08:14.795491+00:00,1,SHN,"Saint Helena, Ascension and Tristan da Cunha",country_only,0,Other,Africa,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,2025,NO,"The project involves a UK-based academic institution collaborating with a public university in Saint Helena, Ascension and Tristan da Cunha, which does not trigger UK/EU dual-use or sanctions controls based on the provided information.","NO
Rationale: The project involves a UK-based academic institution collaborating with a public university in Saint Helena, Ascension and Tristan da Cunha, which does not trigger UK/EU dual-use or sanctions controls based on the provided information.",,149,49,198
d6e9a0f6206d6257306395b5c06a65f2f94fb936,2025-11-03T10:08:16.391864+00:00,1,SLE,Sierra Leone,country_only,0,Other,Africa,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1587,NO,"The project involves a UK-based academic research activity with a public university in Sierra Leone, and no specific technical details, end use, end user, or sanctions exposure are provided to indicate a need for export control review under UK/EU dual-use and sanctions regulations.","NO
Rationale: The project involves a UK-based academic research activity with a public university in Sierra Leone, and no specific technical details, end use, end user, or sanctions exposure are provided to indicate a need for export control review under UK/EU dual-use and sanctions regulations.",,140,58,198
b4bfd7681c7f0b90d97a6b2ab0109f9e58a843a5,2025-11-03T10:08:18.359575+00:00,1,IND,India,country_only,0,BRICS,Asia,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,3957,NO,"The project involves a UK-based academic institution collaborating with a public university in India, and no specific technical details, end use, end user, or sanctions exposure are provided to indicate a need for export control review under UK/EU dual-use and sanctions regulations.","NO
Rationale: The project involves a UK-based academic institution collaborating with a public university in India, and no specific technical details, end use, end user, or sanctions exposure are provided to indicate a need for export control review under UK/EU dual-use and sanctions regulations.",,139,56,195
3930c93ac557e54053925c397d23cf3315813fc8,2025-11-03T10:08:18.389276+00:00,1,TCA,Turks and Caicos Islands,country_only,0,Other,North America,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1981,NO,"The project involves a UK-based academic research project with an international partner located in Turks and Caicos Islands, which does not trigger UK/EU dual-use or sanctions controls based on the information provided.","NO
Rationale: The project involves a UK-based academic research project with an international partner located in Turks and Caicos Islands, which does not trigger UK/EU dual-use or sanctions controls based on the information provided.",,143,44,187
