run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,temperature,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
d21227ce20c8178003e7d02c38c060dcf2d04431,2025-11-03T10:44:24.359683+00:00,1,MAR,Morocco,country_only,0,Other,Africa,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3683,NO,"A UK-based academic research project with a Moroccan public university partner does not trigger UK/EU export control requirements based solely on the information provided, as Morocco is not subject to comprehensive sanctions and no controlled technology or technical details are specified.","NO (not controlled)

A UK-based academic research project with a Moroccan public university partner does not trigger UK/EU export control requirements based solely on the information provided, as Morocco is not subject to comprehensive sanctions and no controlled technology or technical details are specified.",,150,58,208
78fd85e707a918612c31378878c65f25654d6944,2025-11-03T10:44:24.519399+00:00,1,AND,Andorra,country_only,0,Other,Europe,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3532,NO,A UK-based academic research project with a public university in Andorra (an EU-associated country with no relevant sanctions) does not trigger export control requirements based solely on the partner location and academic nature of the collaboration.,"NO

A UK-based academic research project with a public university in Andorra (an EU-associated country with no relevant sanctions) does not trigger export control requirements based solely on the partner location and academic nature of the collaboration.",,152,50,202
7d47fe6ff6ae6f0755359a6a98a85d953a797ee1,2025-11-03T10:44:24.889557+00:00,1,HMD,Heard Island and McDonald Islands,country_only,0,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3560,NO,A UK-based academic research project with a public university partner in Heard Island and McDonald Islands (an uninhabited Australian external territory) does not trigger export control requirements based solely on the partner location and academic nature of the collaboration.,"NO

A UK-based academic research project with a public university partner in Heard Island and McDonald Islands (an uninhabited Australian external territory) does not trigger export control requirements based solely on the partner location and academic nature of the collaboration.",,155,52,207
fd43aa01d0e3994c07476852ba24f038f4804db2,2025-11-03T10:44:25.075868+00:00,1,PRI,Puerto Rico,country_only,0,Other,Other,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,2736,NO,"Puerto Rico is a US territory and therefore not subject to UK/EU export controls or sanctions that would apply to foreign jurisdictions, making this standard academic collaboration permissible without export control review.","NO (not controlled)

Puerto Rico is a US territory and therefore not subject to UK/EU export controls or sanctions that would apply to foreign jurisdictions, making this standard academic collaboration permissible without export control review.",,151,48,199
eca3c36a1018c8f5ca5174c5fa6027e55648f315,2025-11-03T10:44:25.452806+00:00,1,JAM,Jamaica,country_only,0,Other,North America,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3444,NO,"A UK-based academic research project with a public university in Jamaica does not trigger UK/EU dual-use export controls or sanctions, as Jamaica is not subject to relevant sanctions and no controlled technology or technical details are specified.","NO (not controlled)

A UK-based academic research project with a public university in Jamaica does not trigger UK/EU dual-use export controls or sanctions, as Jamaica is not subject to relevant sanctions and no controlled technology or technical details are specified.",,150,54,204
ea2b2c52e647ceced23214791668083b7e2d9207,2025-11-03T10:44:25.628361+00:00,1,DJI,Djibouti,country_only,0,Other,Africa,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3969,NO,"A UK-based academic research project with a public university in Djibouti does not trigger export control requirements based solely on the partner's location, as Djibouti is not subject to comprehensive UK/EU sanctions and no controlled technology or dual-use items have been specified.","NO

A UK-based academic research project with a public university in Djibouti does not trigger export control requirements based solely on the partner's location, as Djibouti is not subject to comprehensive UK/EU sanctions and no controlled technology or dual-use items have been specified.",,154,64,218
e7e98a68e226a1817be802b51c8025a0bdd7a10c,2025-11-03T10:44:27.783095+00:00,1,SHN,"Saint Helena, Ascension and Tristan da Cunha",country_only,0,Other,Africa,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3396,NO,"Saint Helena, Ascension and Tristan da Cunha is a UK Overseas Territory, so collaboration with a public university there would not constitute international export requiring UK/EU dual-use export control review.","NO

Saint Helena, Ascension and Tristan da Cunha is a UK Overseas Territory, so collaboration with a public university there would not constitute international export requiring UK/EU dual-use export control review.",,163,49,212
8f895fd4f2a33849d88978fa267555b154052884,2025-11-03T10:44:27.833492+00:00,1,PRY,Paraguay,country_only,0,Other,South America,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3137,NO,"A UK-based academic research project with a public university in Paraguay does not trigger UK/EU export control requirements based solely on the partner's location, as Paraguay is not subject to relevant UK/EU sanctions or dual-use restrictions that would automatically require export control review.","NO (not controlled)

A UK-based academic research project with a public university in Paraguay does not trigger UK/EU export control requirements based solely on the partner's location, as Paraguay is not subject to relevant UK/EU sanctions or dual-use restrictions that would automatically require export control review.",,150,63,213
f88172cbdcf7fe19a4bfe828b77aca8b4995d5ca,2025-11-03T10:44:28.866238+00:00,1,ARM,Armenia,country_only,0,Other,Asia,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3826,NO,A UK-based academic research project with a public university in Armenia does not require export control review as Armenia is not subject to UK/EU sanctions and no controlled dual-use items or technology have been specified.,"NO (not controlled)

A UK-based academic research project with a public university in Armenia does not require export control review as Armenia is not subject to UK/EU sanctions and no controlled dual-use items or technology have been specified.",,150,51,201
b4bfd7681c7f0b90d97a6b2ab0109f9e58a843a5,2025-11-03T10:44:28.985442+00:00,1,IND,India,country_only,0,BRICS,Asia,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3624,NO,"A UK-based academic research project with a public university in India does not require export control review based solely on the information provided, as no controlled technology, sanctioned entities, or restricted activities have been specified.","NO

A UK-based academic research project with a public university in India does not require export control review based solely on the information provided, as no controlled technology, sanctioned entities, or restricted activities have been specified.",,150,47,197
3930c93ac557e54053925c397d23cf3315813fc8,2025-11-03T10:44:29.577466+00:00,1,TCA,Turks and Caicos Islands,country_only,0,Other,North America,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3531,NO,"A UK-based academic research project with a public university in Turks and Caicos Islands (a UK Overseas Territory) does not require export control review as no controlled technology transfer, sanctioned entities, or restricted destinations are indicated.","NO (not controlled)

A UK-based academic research project with a public university in Turks and Caicos Islands (a UK Overseas Territory) does not require export control review as no controlled technology transfer, sanctioned entities, or restricted destinations are indicated.",,157,58,215
d6e9a0f6206d6257306395b5c06a65f2f94fb936,2025-11-03T10:44:29.668501+00:00,1,SLE,Sierra Leone,country_only,0,Other,Africa,claude-sonnet-4,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,0.2,3967,NO,"A UK-based academic research project with a public university in Sierra Leone does not trigger UK/EU dual-use export controls or sanctions based solely on the partner's location and institutional type, as Sierra Leone is not subject to comprehensive sanctions and no controlled technology or dual-use items have been specified.","NO (not controlled)

A UK-based academic research project with a public university in Sierra Leone does not trigger UK/EU dual-use export controls or sanctions based solely on the partner's location and institutional type, as Sierra Leone is not subject to comprehensive sanctions and no controlled technology or dual-use items have been specified.",,151,69,220
