run_id,timestamp_utc,frame_id,iso3,country,bloc,region,embargo,condition,model_key,model_id,model_version,temperature,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens,prompt_body
E4_FULL_manifest_20251109,2025-11-09T14:57:31.819563+00:00,F2,DJI,Djibouti,Other,Africa,0,proxy,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1094,YES,"YES, because collaboration with entities from the Other bloc may involve the transfer of controlled information or technology, necessitating an export control review even if the country is not under embargo.","YES, because collaboration with entities from the Other bloc may involve the transfer of controlled information or technology, necessitating an export control review even if the country is not under embargo.",,75,35,110,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T14:57:31.888107+00:00,F3,MAF,Saint Martin (French part),Other,Other,0,country,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1417,YES,"YES, because the collaboration with researchers in Saint Martin (French part) may involve the transfer of controlled items, technology, or software, which could trigger export control requirements under UK regulations.","YES, because the collaboration with researchers in Saint Martin (French part) may involve the transfer of controlled items, technology, or software, which could trigger export control requirements under UK regulations.",,68,37,105,research activity located in the United Kingdom collaborating with researchers in Saint Martin (French part).
E4_FULL_manifest_20251109,2025-11-09T14:57:32.188315+00:00,F3,VCT,Saint Vincent and the Grenadines,Other,North America,0,proxy,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1121,YES,"YES, because collaboration with entities from the Other bloc may involve the transfer of controlled information or technology, necessitating an export control review even if the country is not under embargo.","YES, because collaboration with entities from the Other bloc may involve the transfer of controlled information or technology, necessitating an export control review even if the country is not under embargo.",,77,35,112,"research activity located in the United Kingdom collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T14:57:33.059395+00:00,F2,WLF,Wallis and Futuna,Other,Oceania,0,proxy,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1217,YES,"YES, because collaboration with entities from the Other bloc may involve the transfer of controlled information or technology, necessitating an export control review even if the country is not under embargo.","YES, because collaboration with entities from the Other bloc may involve the transfer of controlled information or technology, necessitating an export control review even if the country is not under embargo.",,75,35,110,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T14:57:33.352276+00:00,F2,GRL,Greenland,Other,North America,0,proxy,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1178,YES,"YES, because even if the partner's country is not under embargo, the transfer of certain technologies or information may be subject to UK export control regulations.","YES, because even if the partner's country is not under embargo, the transfer of certain technologies or information may be subject to UK export control regulations.",,75,30,105,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,2025-11-09T14:57:33.629932+00:00,F2,LBR,Liberia,Other,Africa,1,paraphrase,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,2231,YES,"YES, because international collaborations involving the transfer of technology, materials, or information may be subject to export control regulations, regardless of the countries involved.","YES, because international collaborations involving the transfer of technology, materials, or information may be subject to export control regulations, regardless of the countries involved.",,63,30,93,a UK-based research project collaborating with a Liberia-based institution.
E4_FULL_manifest_20251109,2025-11-09T14:57:34.272909+00:00,F3,FSM,"Micronesia, Federated States of",Other,Oceania,0,country,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1210,YES,"YES, because collaboration with researchers in Micronesia, Federated States of, may involve the transfer of controlled information or technology, which could trigger export control requirements.","YES, because collaboration with researchers in Micronesia, Federated States of, may involve the transfer of controlled information or technology, which could trigger export control requirements.",,71,33,104,"research activity located in the United Kingdom collaborating with researchers in Micronesia, Federated States of."
E4_FULL_manifest_20251109,2025-11-09T14:57:34.810058+00:00,F3,COM,Comoros,Other,Africa,0,paraphrase,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1404,YES,"YES, because collaboration with a Comoros-based institution may involve the transfer of controlled information or technology, which could trigger export control regulations.","YES, because collaboration with a Comoros-based institution may involve the transfer of controlled information or technology, which could trigger export control regulations.",,67,28,95,research activity located in the United Kingdom collaborating with a Comoros-based institution.
E4_FULL_manifest_20251109,2025-11-09T14:57:34.831368+00:00,F1,TUV,Tuvalu,Other,Oceania,0,paraphrase,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,1103,YES,"YES, because international collaborations, especially involving countries with less stringent control measures, typically require an export control review to ensure compliance with national security and trade regulations.","YES, because international collaborations, especially involving countries with less stringent control measures, typically require an export control review to ensure compliance with national security and trade regulations.",,67,31,98,a research project based in the United Kingdom collaborating with a Tuvalu-based institution.
E4_FULL_manifest_20251109,2025-11-09T14:57:35.150165+00:00,F2,GIB,Gibraltar,Other,Europe,0,unspecified,qwen2.5,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-72b-instruct,0.0,870,YES,"YES, because collaboration with a foreign institution may involve the transfer of controlled information or technology, which falls under export control regulations.","YES, because collaboration with a foreign institution may involve the transfer of controlled information or technology, which falls under export control regulations.",,63,25,88,a UK-based research project collaborating with an unspecified foreign institution.
